link,link/_text,link/_title,image,image/_alt,title_link,title_link/_text,title_link/_title,company_link,company_link/_text,company_link/_title,details_value,label,details_values,details_values_dates,abstract_description,abstract_description_prices,view_link,view_link/_text,view_link/_title,"_PAGE_NUMBER"
"https://www.linkedin.com/jobs2/view/77992411?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/p/2/005/017/039/20b4f85.png","Robert Half Finance & Accounting","https://www.linkedin.com/jobs2/view/77992411?trk=jserp_job_details_text","Senior Accountant","","http://www.linkedin.com/company/robert-half-finance-&-accounting?trk=jserp_company_name","Robert Half Finance & Accounting","","South San francisco -CA","-","Oct 12, 2015","1444608000000","Thriving pharma company is looking for a senior accountant to join its team. This is a newly created role due to growth. The senior accountant would be responsible for the payroll and assist with the close, financial reporting and audits. The company has strong drug pipeline, strong management ...","","https://www.linkedin.com/jobs2/view/77992411?trk=jserp_seo_page","View","","4"
"https://www.linkedin.com/jobs2/view/75804104?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/AAEAAQAAAAAAAAbvAAAAJDRkMGRhZjExLTI4NGEtNDU4Mi1hYTBiLWY2YzBiNGI2YTlmYg.png","Indiegogo","https://www.linkedin.com/jobs2/view/75804104?trk=jserp_job_details_text","DevOps Manager","","http://www.linkedin.com/company/indiegogo?trk=jserp_company_name","Indiegogo","","San Francisco Bay Area","-","Sep 28, 2015","1443398400000","The Role: Indiegogo is looking for a talented DevOps Manager who can take on leading our ops team. We are a dynamic small team that works very closely with engineering to manage a number of projects including performance, configuration and database administration. Our app has incredible spikes ...","","https://www.linkedin.com/jobs2/view/75804104?trk=jserp_seo_page","View","","5"
"https://www.linkedin.com/jobs2/view/77990822?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/p/2/005/017/039/20b4f85.png","Robert Half Finance & Accounting","https://www.linkedin.com/jobs2/view/77990822?trk=jserp_job_details_text","Senior Accountant","","http://www.linkedin.com/company/robert-half-finance-&-accounting?trk=jserp_company_name","Robert Half Finance & Accounting","","Foster City -CA","-","Oct 12, 2015","1444608000000","Our client, a real estate group, is looking for a senior corporate accountant to become an integral part of the team. The senior corporate accountant would manage a portfolio of entities, drive the close for the entities, and other ad hoc projects. Growth and generous perks.Duties include:Month ...","","https://www.linkedin.com/jobs2/view/77990822?trk=jserp_seo_page","View","","5"
"https://www.linkedin.com/jobs2/view/77993113?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/p/2/005/017/039/20b4f85.png","Robert Half Finance & Accounting","https://www.linkedin.com/jobs2/view/77993113?trk=jserp_job_details_text","Senior Analyst - Investment Portfolio Analysis and Valuation","","http://www.linkedin.com/company/robert-half-finance-&-accounting?trk=jserp_company_name","Robert Half Finance & Accounting","","San Mateo -CA","-","Oct 12, 2015","1444608000000","Our client, a mission driven investment firm is expanding its portfolio analysis team. The investment firm's mission is directly impact societal change via investments in firm's that focus on financial inclusion, consumer Internet access, access to better education and many other areas that ...","","https://www.linkedin.com/jobs2/view/77993113?trk=jserp_seo_page","View","","5"
"https://www.linkedin.com/jobs2/view/78907990?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/p/2/005/017/039/20b4f85.png","Robert Half Finance & Accounting","https://www.linkedin.com/jobs2/view/78907990?trk=jserp_job_details_text","SF software company looking for Senior G/L Accountant","","http://www.linkedin.com/company/robert-half-finance-&-accounting?trk=jserp_company_name","Robert Half Finance & Accounting","","San Francisco -CA","-","Oct 13, 2015","1444694400000","Are you looking for a company that has a start-up feel but has the stability of a public company? If you are thinking yes, then this is a role for you. This exciting San Francisco company is in the software/technology industry and has 4,300 customers that include asset managers, hedge funds, ...","","https://www.linkedin.com/jobs2/view/78907990?trk=jserp_seo_page","View","","5"
"https://www.linkedin.com/jobs2/view/72892277?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/AAEAAQAAAAAAAAAYAAAAJDRhOWE2MTZjLTg5ZjktNGFlMS05YTEzLTVjOTA0MTk3OTg2Zg.png","Banjo","https://www.linkedin.com/jobs2/view/72892277?trk=jserp_job_details_text","Director of People Operations","","http://www.linkedin.com/company/banjo?trk=jserp_company_name","Banjo","","San Francisco Bay Area, Redwood City","-","Sep 14, 2015","1442188800000","Director, People Operations- Position Summary Banjo is looking for an experienced HR Professional to help design, plan and implement HR programs & polices for staffing, compensation, benefits, employee relations, training to scale our rapidly growing start-up. We work at a very rapid pace where...","","https://www.linkedin.com/jobs2/view/72892277?trk=jserp_seo_page","View","","5"
"https://www.linkedin.com/jobs2/view/82102106?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/AAEAAQAAAAAAAAJXAAAAJDYyZDQ2ZGIxLTE4NDYtNGRkOC1iMzcxLTk4OTlmNTc4OTI4OQ.png","Gengo","https://www.linkedin.com/jobs2/view/82102106?trk=jserp_job_details_text","Sales Development Representative","","http://www.linkedin.com/company/gengo?trk=jserp_company_name","Gengo","","San Mateo, CA, US","-","Sep 1, 2015; - From gengo.theresumator.com","1441065600000","Listing InfoAbout usWe're Gengo, the people-powered translation platform. We are Tokyo and Silicon Valley-based with over 14,000 translators across 114 countries, translating at a rate of four words per second. Our investors include Intel Capital, Atomico, Iris Capital and Japan’s NTT DoCoMo, ...","","https://www.linkedin.com/jobs2/view/82102106?trk=jserp_seo_page","View","","5"
"https://www.linkedin.com/jobs2/view/86014104?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/p/1/000/1ee/3f2/0f7e524.png","Algentis","https://www.linkedin.com/jobs2/view/86014104?trk=jserp_job_details_text","Payroll Analyst","","http://www.linkedin.com/company/algentis?trk=jserp_company_name","Algentis","","Walnut Creek, CA, US","-","Sep 18, 2015; - From careers.jobscore.com","1442534400000","Listing InfoAlgentis – Payroll AnalystJob DescriptionAs a Payroll Analyst you will be a critical member of the Business Platform Team. You will be a part of a team which shares a number of responsibilities that will include entering new client and employee data into our HRIS/Payroll system ...","","https://www.linkedin.com/jobs2/view/86014104?trk=jserp_seo_page","View","","5"
"https://www.linkedin.com/jobs2/view/91311562?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/p/1/000/11c/1a1/3060b5f.png","KICKBOARD","https://www.linkedin.com/jobs2/view/91311562?trk=jserp_job_details_text","Product Support Manager","","http://www.linkedin.com/company/kickboard?trk=jserp_company_name","KICKBOARD","","San Francisco, CA, US","-","Oct 9, 2015; - From www.ziprecruiter.com","1444348800000","Listing InfoThis Product Support Manager search is being managed by Compass Talent Group. We encourage you to apply early for priority consideration since interviews will begin the week of October 26th.Please visit http://compasstalentgroup.applytojob.com/apply to apply and submit a resume and a ...","","https://www.linkedin.com/jobs2/view/91311562?trk=jserp_seo_page","View","","5"
"https://www.linkedin.com/jobs2/view/85730657?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/AAEAAQAAAAAAAAcJAAAAJDk2MGQ0ZjgyLTBkOGMtNDg2Ny1hMjc1LTllZWNjNjcwOTI1Zg.png","Slack","https://www.linkedin.com/jobs2/view/85730657?trk=jserp_job_details_text","Accounts Operations Manager","","http://www.linkedin.com/company/tiny-speck-inc?trk=jserp_company_name","Slack","","San Francisco, CA, US","-","Sep 17, 2015; - From grnh.se","1442448000000","We’re looking for an Accounts Operations Manager to help lead our accounts operations functions at Slack! As an Accounts Operations Manager you’d execute on strategic and tactical initiatives that directly contribute to increasing customer adoption, customer engagement, customer ...","","https://www.linkedin.com/jobs2/view/85730657?trk=jserp_seo_page","View","","5"
"https://www.linkedin.com/jobs2/view/87086979?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/p/7/005/00e/2bf/30e1d16.png","BrightBytes","https://www.linkedin.com/jobs2/view/87086979?trk=jserp_job_details_text","Director of Engagement- South","","http://www.linkedin.com/company/brightbytes?trk=jserp_company_name","BrightBytes","","San Francisco Bay Area","-","Sep 22, 2015","1442880000000","About BrightBytes: BrightBytes (BB) is a mission-driven organization that is the world’s leading provider of research analytics to K-12 Schools. BB was founded by educators working closely with industry experts who care deeply about learning in the 21st century. The organization’s flagship ...","","https://www.linkedin.com/jobs2/view/87086979?trk=jserp_seo_page","View","","5"
"https://www.linkedin.com/jobs2/view/87077561?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/p/7/005/00e/2bf/30e1d16.png","BrightBytes","https://www.linkedin.com/jobs2/view/87077561?trk=jserp_job_details_text","Director of Engagement, Midwest","","http://www.linkedin.com/company/brightbytes?trk=jserp_company_name","BrightBytes","","San Francisco Bay Area","-","Sep 22, 2015","1442880000000","About BrightBytes: BrightBytes (BB) is a mission-driven organization that is the world’s leading provider of research analytics to K-12 Schools. BB was founded by educators working closely with industry experts who care deeply about learning in the 21st century. The organization’s flagship ...","","https://www.linkedin.com/jobs2/view/87077561?trk=jserp_seo_page","View","","5"
"https://www.linkedin.com/jobs2/view/77946552?trk=jserp_job_details_company_logo","","","https://media.licdn.com/mpr/mpr/shrink_100_100/p/7/005/097/321/0e9a443.png","Brightworks Sustainability","https://www.linkedin.com/jobs2/view/77946552?trk=jserp_job_details_text","Project Coordinator","","http://www.linkedin.com/company/brightworks-sustainability-advisors?trk=jserp_company_name","Brightworks Sustainability","","San Francisco Bay Area","-","Oct 10, 2015","1444435200000","Description: Brightworks Sustainability is seeking an experienced, qualified Project Coordinator to join our team. The Project Coordinator position performs important analysis, documentation and coordination tasks for sustainability and green building certification programs and consulting ...","","https://www.linkedin.com/jobs2/view/77946552?trk=jserp_seo_page","View","","5"
